Variable,bm,cg,ff,js
Calcic Solonetz,1,0,1,0
Haplic Calcisols,1,0,0,1
Haplic Cambisols,20,7,10,9
Haplic Kastanozems,7,25,4,5
Haplic Luvisols,10,8,10,5
Haplic Solonetz,1,0,3,0
Elevation,1399,1300,1463,1458
Folded aspect,103,24,113,90
Slope,3,2,3,3
