"","Plot","Mass","BRTE"
"1","J01A",100.34,7.36363636363636
"2","J01B",147.28,7.81818181818182
"3","J01C",195.61,10.7272727272727
"4","J02A",21.48,1.09090909090909
"5","J02B",38.84,2.20454545454545
"6","J02C",17.65,1.29545454545455
"7","J03A",24.13,0.840909090909091
"8","J03B",6.46,0.477272727272727
"9","J03C",20.19,0.613636363636364
"10","J06A",4.32,0.431818181818182
"11","J06B",9.53,0.295454545454545
"12","J06C",0.88,0.136363636363636
"13","J07A",0.76,0.159090909090909
"14","J07C",0.05,0.0454545454545455
"15","J08A",2.22,0.227272727272727
"16","J08B",2.89,0.0909090909090909
"17","J08C",1.75,0.25
"18","J10A",32.45,2.34090909090909
"19","J10B",54.99,2.97727272727273
"20","J10C",34.93,2.36363636363636
"21","J11A",5.06,0.5
"22","J11B",3.25,0.340909090909091
"23","J11C",2.71,0.318181818181818
"24","J12A",222.52,10.6363636363636
"25","J12B",314.67,17.5
"26","J12C",217.68,11.8181818181818
"27","J13A",104.3,7.38636363636364
"28","J13B",100.31,6.95454545454545
"29","J13C",77.8,6.79545454545455
"30","J14A",83.45,8.68181818181818
"31","J14B",105.02,8.31818181818182
"32","J14C",78,7.18181818181818
"33","J16A",141.84,7.81818181818182
"34","J16B",208.96,10.6818181818182
"35","J16C",159.45,9.18181818181818
"36","J18A",206.68,13.8636363636364
"37","J18B",296.12,15.4545454545455
"38","J18C",236.35,11.7272727272727
"39","J22A",144.12,11.9090909090909
"40","J22B",102.73,10.5909090909091
"41","J22C",109.06,9.63636363636364
"42","J23A",245.02,8.18181818181818
"43","J23B",261.29,11.9545454545455
"44","J23C",233.65,11
"45","J24A",108.92,6.27272727272727
"46","J24B",144.8,9.04545454545454
"47","J24C",135.09,8.95454545454546
"48","J25A",196.64,7
"49","J25B",168.17,7.77272727272727
"50","J25C",207.32,11.7272727272727
"51","J26A",100.88,5.34090909090909
"52","J26B",82.16,6.47727272727273
"53","J26C",117.35,6.31818181818182
"54","J27A",31.84,4.13636363636364
"55","J27B",109.14,7.84090909090909
"56","J27C",31.14,4.27272727272727
"57","J28A",160.6,NA
"58","J28B",121.14,6.04545454545455
"59","J28C",146.99,6.86363636363636
