region,plot,date,mass_g,cover_pct,month,year
central,10,2018-06-08,11.55,65,6,2018
central,11,2018-08-09,38.22,85,8,2018
central,12,2018-06-09,2.45,30,6,2018
central,13,2018-06-09,29.53,70,6,2018
central,14,2018-06-09,13.76,20,6,2018
central,15,2018-06-09,27.73,9,6,2018
central,16,2018-06-09,33.15,89,6,2018
central,17,2018-06-10,3.8,10,6,2018
central,18,2018-06-10,25.14,45,6,2018
central,19,2018-06-10,4.13,7,6,2018
central,2,2018-06-07,1.44,45,6,2018
central,20,2018-06-10,9.21,10,6,2018
central,21,2018-06-18,3.94,20,6,2018
central,22,2018-06-18,4.78,30,6,2018
central,23,2018-06-18,3.6,30,6,2018
central,24,2018-06-18,3.45,60,6,2018
central,25,2018-06-19,2.93,40,6,2018
central,26,2018-06-24,5.88,40,6,2018
central,27,2018-06-24,10.63,50,6,2018
central,28,2018-06-24,12.88,65,6,2018
central,29,2018-06-24,21.47,90,6,2018
central,3,2018-06-07,11.12,80,6,2018
central,30,2018-06-24,2,50,6,2018
central,31,2018-06-24,6.52,35,6,2018
central,32,2018-06-24,5.04,55,6,2018
central,33,2018-06-24,3.93,15,6,2018
central,34,2018-06-24,14.64,80,6,2018
central,35,2018-06-24,6.28,50,6,2018
central,36,2018-06-25,8.66,55,6,2018
central,37,2018-06-25,10.07,45,6,2018
central,38,2018-06-25,13.06,60,6,2018
central,39,2018-07-04,5.52,70,7,2018
central,4,2018-06-07,3.39,40,6,2018
central,40,2018-07-04,8.64,70,7,2018
central,5,2018-06-07,8,70,6,2018
central,6,2018-06-07,6.02,15,6,2018
central,7,2018-06-07,3.13,30,6,2018
central,8,2018-06-08,4,30,6,2018
central,9,2018-06-08,11.25,70,6,2018
northern,1,2018-06-23,9.15,50,6,2018
northern,10,2018-06-23,24.42,80,6,2018
northern,11,2018-06-23,16.79,70,6,2018
northern,12,2018-06-23,21.31,85,6,2018
northern,13,2018-06-23,6.17,40,6,2018
northern,14,2018-06-23,1.32,7,6,2018
northern,15,2018-06-23,1.49,15,6,2018
northern,16,2018-06-23,3.56,20,6,2018
northern,17,2018-06-23,2.36,15,6,2018
northern,18,2018-06-23,2.62,15,6,2018
northern,19,2018-06-23,5.76,40,6,2018
northern,2,2018-06-23,1.14,20,6,2018
northern,20,2018-06-23,4.43,55,6,2018
northern,21,2018-06-24,1.84,10,6,2018
northern,22,2018-06-24,1.22,5,6,2018
northern,23,2018-06-24,25.45,65,6,2018
northern,24,2018-06-24,10.98,40,6,2018
northern,25,2018-06-24,2.74,20,6,2018
northern,26,2018-06-24,3.02,30,6,2018
northern,27,2018-06-24,4.73,25,6,2018
northern,28,2018-06-24,1.9,5,6,2018
northern,29,2018-06-24,47.63,100,6,2018
northern,3,2018-06-23,19.04,60,6,2018
northern,30,2018-06-24,5.23,35,6,2018
northern,31,2018-06-24,4.05,15,6,2018
northern,32,2018-06-24,6.99,20,6,2018
northern,33,2018-06-24,7.28,30,6,2018
northern,34,2018-06-24,0.61,2,6,2018
northern,35,2018-06-24,1.64,5,6,2018
northern,36,2018-06-24,2.19,5,6,2018
northern,37,2018-06-24,1.8,5,6,2018
northern,38,2018-06-24,7.2,20,6,2018
northern,39,2018-06-24,5.91,20,6,2018
northern,4,2018-06-23,2.14,20,6,2018
northern,40,2018-06-24,6.34,25,6,2018
northern,5,2018-06-23,13.44,65,6,2018
northern,6,2018-06-23,24.54,75,6,2018
northern,7,2018-06-23,5.94,30,6,2018
northern,8,2018-06-23,1.51,5,6,2018
northern,9,2018-06-23,48.7,95,6,2018
western,10,2018-06-25,0.64,25,6,2018
western,13,2018-06-25,4.37,40,6,2018
western,14,2018-06-25,5.3,70,6,2018
western,15,2018-06-13,3.79,55,6,2018
western,16,2018-06-13,26.81,80,6,2018
western,17,2018-06-29,1.3,50,6,2018
western,20,2018-07-13,1.01,25,7,2018
western,21,2018-07-13,2.21,45,7,2018
western,22,2018-07-13,3.79,55,7,2018
western,23,2018-07-13,0.23,3,7,2018
western,24,2018-07-13,3.28,60,7,2018
western,25,2018-07-13,0.3,6,7,2018
western,26,2018-07-13,0.31,8,7,2018
western,27,2018-06-13,16.96,60,6,2018
western,30,2018-06-13,3.67,13,6,2018
western,31,2018-06-13,0.48,11,6,2018
western,32,2018-06-28,1.92,10,6,2018
western,33,2018-06-28,7.16,65,6,2018
western,34,2018-06-28,8.29,65,6,2018
western,4,2018-06-25,0.66,16,6,2018
western,5,2018-07-13,2.03,50,7,2018
western,6,2018-07-13,2.68,55,7,2018
western,7,2018-07-13,4.8,60,7,2018
western,8,2018-07-13,0.35,3,7,2018
western,9,2018-06-25,6.83,40,6,2018
western,N01,2018-06-25,3.73,65,6,2018
western,N02,2018-06-25,2.54,60,6,2018
western,N04,2018-06-25,1.06,23,6,2018
western,N05,2018-06-28,7.46,60,6,2018
western,N06,2018-06-28,1.61,15,6,2018
western,N07,2018-06-28,7.77,50,6,2018
western,N08,2018-06-28,2,55,6,2018
western,N13,2018-07-13,1.96,55,7,2018
western,N14,2018-07-13,12.97,95,7,2018
western,N15,2018-07-13,1.58,10,7,2018
western,N16,2018-07-13,0.57,7,7,2018
western,N17,2018-07-13,0.04,3,7,2018
western,N18,2018-07-13,0.93,10,7,2018
western,N19,2018-07-13,1.06,40,7,2018
central,1,2019-06-19,1.16,25,6,2019
central,2,2019-06-19,3.27,40,6,2019
central,3,2019-06-19,0.88,10,6,2019
central,4,2019-06-19,3.05,40,6,2019
central,5,2019-06-19,2.18,45,6,2019
central,6,2019-06-19,1.63,15,6,2019
central,7,2019-06-26,4.63,50,6,2019
central,8,2019-06-26,3.08,35,6,2019
central,9,2019-06-26,2.27,35,6,2019
central,10,2019-06-26,3.28,40,6,2019
central,11,2019-06-27,4.08,40,6,2019
central,12,2019-06-27,2.25,15,6,2019
central,13,2019-06-27,2.98,25,6,2019
central,14,2019-06-27,3.26,10,6,2019
central,15,2019-06-27,2.94,20,6,2019
central,16,2019-06-27,22.42,65,6,2019
central,17,2019-06-27,3.86,10,6,2019
central,18,2019-06-28,3.45,30,6,2019
central,19,2019-06-28,2.6,20,6,2019
central,20,2019-06-28,4.69,25,6,2019
central,21,2019-06-28,1.54,5,6,2019
central,22,2019-06-28,3.31,20,6,2019
central,23,2019-06-29,10.45,55,6,2019
central,24,2019-06-29,5.95,30,6,2019
central,25,2019-06-29,3.45,5,6,2019
central,26,2019-06-29,4.94,15,6,2019
central,27,2019-06-29,2.75,10,6,2019
central,28,2019-06-30,5.81,15,6,2019
central,29,2019-06-30,11.22,70,6,2019
central,30,2019-06-30,11.35,50,6,2019
central,31,2019-06-30,2.58,5,6,2019
central,32,2019-06-30,12.32,55,6,2019
central,33,2019-06-30,4.51,35,6,2019
central,34,2019-06-30,9.19,50,6,2019
central,35,2019-07-01,35.61,80,7,2019
central,36,2019-07-01,2.1,15,7,2019
central,37,2019-07-01,6.86,30,7,2019
central,38,2019-07-01,4.56,30,7,2019
central,39,2019-07-01,24.98,30,7,2019
central,40,2019-07-01,27.59,50,7,2019
central,41,2019-07-01,13.41,25,7,2019
central,42,2019-07-01,33.56,65,7,2019
central,43,2019-07-01,9.09,18,7,2019
central,44,2019-07-01,20.42,35,7,2019
central,45,2019-07-02,1.44,2,7,2019
central,46,2019-07-02,10.72,15,7,2019
central,47,2019-07-02,1.75,7,7,2019
central,48,2019-07-02,16.53,70,7,2019
central,49,2019-07-02,17.15,40,7,2019
central,50,2019-07-02,13.64,15,7,2019
western,1,2019-06-16,0.8,20,6,2019
western,2,2019-06-16,1.06,20,6,2019
western,3,2019-06-16,0.88,20,6,2019
western,4,2019-06-16,0.84,15,6,2019
western,5,2019-06-16,0.68,15,6,2019
western,6,2019-06-16,1.6,20,6,2019
western,7,2019-06-16,5.19,30,6,2019
western,8,2019-06-16,1.4,15,6,2019
western,9,2019-06-16,3.12,20,6,2019
western,10,2019-06-16,6.45,40,6,2019
western,11,2019-06-16,5.17,45,6,2019
western,12,2019-06-18,0.81,15,6,2019
western,13,2019-06-18,0.48,15,6,2019
western,14,2019-06-18,3.8,47,6,2019
western,15,2019-06-18,4.11,45,6,2019
western,16,2019-06-18,1.14,30,6,2019
western,17,2019-06-18,10.73,83,6,2019
western,18,2019-06-18,3.25,38,6,2019
western,19,2019-06-18,20.11,90,6,2019
western,20,2019-06-18,6.8,45,6,2019
western,21,2019-06-18,2.72,45,6,2019
western,22,2019-06-18,2.51,40,6,2019
western,23,2019-06-28,0.72,14,6,2019
