date,plot,UTMx,UTMy,mean_ht_square_cm,cover_square,mean_ht_hoop_cm,cover_hoop,region,mass_g
29-Jun-2019,37,282576,4260525,19.558,12,16.256,12,western,1.47
29-Jun-2019,38,283150,4262779,26.67,17,25.908,17,western,1.34
29-Jun-2019,39,283109,4262789,22.352,27,21.59,27,western,2.16
29-Jun-2019,40,283108,4262828,16.764,16,14.986,16,western,0.82
29-Jun-2019,41,283215,4263616,23.368,22,19.05,22,western,3.09
29-Jun-2019,42,283216,4263658,41.148,22,25.4,22,western,1.9
1-Jul-2019,43,340977,4271311,26.67,65,26.67,65,western,2.68
1-Jul-2019,44,340974,4271286,18.796,35,18.796,35,western,0.98
1-Jul-2019,45,340982,4271294,18.288,48,18.288,48,western,2.57
1-Jul-2019,46,341866,4278273,21.336,14,21.336,14,western,0.94
1-Jul-2019,47,341865,4278293,38.1,30,38.1,30,western,2.64
1-Jul-2019,48,341896,4278284,26.416,33,26.416,33,western,4.48
1-Jul-2019,49,342781,4278841,21.59,16,21.59,16,western,2.17
1-Jul-2019,50,342813,4278837,39.37,10,39.37,10,western,1.25
