mass_g,plot,date,region,notes,sampling date,local time of photograph,plot,UTMx (NAD 83 zone 11),UTMy (NAD 83 zone 11),max_ht_cm,cover_pct,direction of photograph,canyon
4.17,1,6/7/18,central_gb,underdown 046057 4336105,7-Jun-2018,10:54,1,462057,4336105,0.45,50,north?,Underdown
1.44,2,6/7/18,central_gb,underdown 0463042 4335567,7-Jun-2018,11:10,2,463042,4335567,0.5,45,north?,Underdown
11.12,3,6/7/18,central_gb,underdown 0463728 4335449,7-Jun-2018,11:23,3,463728,4335449,0.58,80,north?,Underdown
3.39,4,6/7/18,central_gb,underdown 0464141 4335274,7-Jun-2018,11:36,4,464141,4335274,0.36,40,"north, south",Underdown
8,5,6/7/18,central_gb,underdown 0465337 4334840,7-Jun-2018,11:49,5,465337,4334840,0.5,70,"north, south",Underdown
6.02,6,6/7/18,central_gb,underdown 0466187 4334515,7-Jun-2018,12:02,6,466187,4334515,0.41,15,north?,Underdown
3.13,7,6/7/18,central_gb,san juan 0477267 4331083,7-Jun-2018,16:18,7,477267,4331083,NA,30,north?,San Juan
4,8,6/8/18,central_gb,san juan 0475125 4333115,8-Jun-2018,9:19,8,475125,4333115,0.56,30,north?,San Juan
11.25,9,6/8/18,central_gb,san juan 0476206 4330455,8-Jun-2018,9:56,9,476206,4330455,0.61,70,north?,San Juan
11.55,10,6/8/18,central_gb,san juan 0476187 4330187,8-Jun-2018,10:09,10,476187,4330187,0.57,65,"north, south",San Juan
38.22,11,8/9/18,central_gb,washington canyon,9-Jun-2018,11:46,11,479904,4334033,0.72,85,"north, south",Washington
2.45,12,6/9/18,central_gb,washington canyon,9-Jun-2018,12:07,12,478593,4333783,0.42,30,"north, south",Washington
29.53,13,6/9/18,central_gb,washington canyon,9-Jun-2018,12:22,13,478377,4333833,0.75,70,"north, south",Washington
13.76,14,6/9/18,central_gb,washington canyon,9-Jun-2018,12:41,14,477190,4334226,0.69,20,"north, south",Washington
27.73,15,6/9/18,central_gb,washington canyon,9-Jun-2018,12:49,15,476886,4334250,0.42,9,"north, south",Washington
33.15,16,6/9/18,central_gb,washington canyon,9-Jun-2018,12:59,16,476430,4334448,0.52,89,"north, south",Washington
3.8,17,6/10/18,central_gb,lots of medusahead mixed in/ barley/0528909 4276172,10-Jun-2018,12:12,17,528909,4276172,0.42,10,north?,Barley
25.14,18,6/10/18,central_gb,barley 0528971 4276210,10-Jun-2018,17:32,18,528971,4276210,0.54,45,north?,Barley
4.13,19,6/10/18,central_gb,barley 0529240 4276387,10-Jun-2018,17:43,19,529240,4276389,0.34,7,north?,Barley
9.21,20,6/10/18,central_gb,barley 0529670 4276559,10-Jun-2018,17:53,20,529670,4276559,0.39,10,north?,Barley
3.94,21,6/18/18,central_gb,birch,18-Jun-2018,12:32,21,499309,4358680,0.34,20,south,Birch
4.78,22,6/18/18,central_gb,birch,18-Jun-2018,12:40,22,499425,4358455,0.46,30,south,Birch
3.6,23,6/18/18,central_gb,birch,18-Jun-2018,12:47,23,499686,4358269,0.42,30,south,Birch
3.45,24,6/18/18,central_gb,birch,18-Jun-2018,12:54,24,499969,4358182,0.43,60,south,Birch
2.93,25,6/19/18,central_gb,moores c.,19-Jun-2018,10:35,25,505735,4301208,0.24,40,south,Moores
5.88,26,6/24/18,central_gb,wallace,24-Jun-2018,14:29,26,536965,4350196,0.59,40,north,Wallace
10.63,27,6/24/18,central_gb,wallace,24-Jun-2018,14:50,27,540482,4352443,0.74,50,north,Wallace
