mass_g,plot,date,region,notes,sampling date,local time of photograph,plot,UTMx (NAD 83 zone 11),UTMy (NAD 83 zone 11),max_ht_cm,cover_pct,direction of photograph,canyon
12.88,28,6/24/18,central_gb,wallace,24-Jun-2018,15:33,28,540909,4352610,0.5,65,north,Wallace
21.47,29,6/24/2018,central_gb,wallace,24-Jun-2018,15:43,29,541340,4352354,0.52,90,north,Wallace
2,30,6/24/18,central_gb,wallace,24-Jun-2018,15:51,30,541383,4352137,0.57,50,north,Wallace
6.52,31,6/24/18,central_gb,wallace,24-Jun-2018,15:58,31,541222,4351207,0.4,35,north,Wallace
5.04,32,6/24/18,central_gb,wallace,24-Jun-2018,16:39,32,545986,4350114,0.58,55,north,Wallace
3.93,33,6/24/18,central_gb,allison,24-Jun-2018,16:55,33,547482,4351142,0.4,15,north,Wallace
14.64,34,6/24/18,central_gb,allison,24-Jun-2018,17:06,34,548603,4351911,0.59,80,north,Wallace
6.28,35,6/24/18,central_gb,allison,24-Jun-2018,17:15,35,549280,4352061,0.52,50,north,Wallace
8.66,36,6/25/18,central_gb,grass springs,25-Jun-2018,12:10,36,498691,4370213,0.56,55,south,Grass Springs
10.07,37,6/25/18,central_gb,grass springs,25-Jun-2018,12:16,37,498643,4370337,0.62,45,south?,Grass Springs
13.06,38,6/25/18,central_gb,grass springs,25-Jun-2018,12:23,38,498680,4370117,0.6,60,south?,Grass Springs
5.52,39,7/4/18,central_gb,birch_creek,4-Jul-2018,8:16,39,498135,4359316,0.67,70,north,Birch
8.64,40,7/4/18,central_gb,birch_creek,4-Jul-2018,8:39,40,496674,4360964,0.52,70,south,Birch
9.15,1,6/23/18,idaho,,23-Jun-2018,10:55,1,555442,4731672,0.55,50,,
1.14,2,6/23/18,idaho,,23-Jun-2018,11:05,2,555431,4731676,0.25,20,,
19.04,3,6/23/18,idaho,,23-Jun-2018,11:16,3,555398,4731682,0.56,60,,
2.14,4,6/23/18,idaho,,23-Jun-2018,11:22,4,555325,4731599,0.3,20,,
13.44,5,6/23/18,idaho,,23-Jun-2018,11:55,5,556070,4732158,0.47,65,,
24.54,6,6/23/18,idaho,,23-Jun-2018,12:04,6,556084,4732176,0.65,75,,
5.94,7,6/23/18,idaho,,23-Jun-2018,12:15,7,556071,4732208,0.52,30,,
1.51,8,6/23/18,idaho,,23-Jun-2018,12:25,8,556090,4732227,0.24,5,,
48.7,9,6/23/18,idaho,,23-Jun-2018,12:50,9,556461,4733233,0.68,95,,
24.42,10,6/23/18,idaho,,23-Jun-2018,13:03,10,556455,4733245,0.68,80,,
16.79,11,6/23/18,idaho,,23-Jun-2018,13:14,11,556438,4733249,0.64,70,,
21.31,12,6/23/18,idaho,,23-Jun-2018,13:21,12,556416,4733247,0.63,85,,
6.17,13,6/23/18,idaho,,23-Jun-2018,14:52,13,558050,4734419,0.38,40,,
1.32,14,6/23/18,idaho,,23-Jun-2018,15:05,14,558077,4734434,0.17,7,,
1.49,15,6/23/18,idaho,,23-Jun-2018,15:24,15,560886,4736073,0.3,15,,
3.56,16,6/23/18,idaho,,23-Jun-2018,15:31,16,560893,4736037,0.21,20,,
2.36,17,6/23/18,idaho,,23-Jun-2018,15:45,17,561854,4736955,0.24,15,,
2.62,18,6/23/18,idaho,,23-Jun-2018,15:51,18,561845,4736946,0.23,15,,
5.76,19,6/23/18,idaho,,23-Jun-2018,15:56,19,561826,4736943,0.35,40,,
4.43,20,6/23/18,idaho,,23-Jun-2018,16:05,20,561785,4736959,0.42,55,,
1.84,21,6/24/18,idaho,,24-Jun-2018,9:50,21,553117,4767479,0.32,10,,
1.22,22,6/24/18,idaho,,24-Jun-2018,10:02,22,553141,4767481,0.32,5,,
25.45,23,6/24/18,idaho,,24-Jun-2018,10:50,23,541196,4756112,0.59,65,,
10.98,24,6/24/18,idaho,,24-Jun-2018,11:00,24,541223,4756120,0.38,40,,
2.74,25,6/24/18,idaho,,24-Jun-2018,11:16,25,541129,4756225,0.37,20,,
3.02,26,6/24/18,idaho,,24-Jun-2018,11:23,26,541122,4756270,0.36,30,,
4.73,27,6/24/18,idaho,,24-Jun-2018,11:28,27,541097,4756301,0.4,25,,
1.9,28,6/24/18,idaho,,24-Jun-2018,11:35,28,541082,4756322,0.14,5,,
47.63,29,6/24/18,idaho,,24-Jun-2018,11:46,29,541132,4756139,0.73,100,,
5.23,30,6/24/18,idaho,,24-Jun-2018,12:05,30,540404,4755351,0.4,35,,
4.05,31,6/24/18,idaho,,24-Jun-2018,12:10,31,540415,4755382,0.34,15,,
6.99,32,6/24/18,idaho,,24-Jun-2018,12:15,32,540451,4755369,0.38,20,,
7.28,33,6/24/18,idaho,,24-Jun-2018,12:21,33,540455,4755337,0.52,30,,
0.61,34,6/24/18,idaho,,24-Jun-2018,13:36,34,539546,4754067,0.15,2,,
1.64,35,6/24/18,idaho,,24-Jun-2018,13:40,35,539482,4754054,0.25,5,,
2.19,36,6/24/18,idaho,,24-Jun-2018,13:51,36,539943,4754416,0.16,5,,
1.8,37,6/24/18,idaho,,24-Jun-2018,13:58,37,539944,4754406,0.17,5,,
7.2,38,6/24/18,idaho,,24-Jun-2018,14:10,38,540583,4755607,0.43,20,,
5.91,39,6/24/18,idaho,,24-Jun-2018,14:15,39,540588,4755637,0.37,20,,
6.34,40,6/24/18,idaho,,24-Jun-2018,14:20,40,540580,4755648,0.33,25,,
0.66,4,6/25/18,western_gb,,25-Jun-2018,10:55,4,340722,4273657,0.36,16,,
2.03,5,7/13/18,western_gb,desert,13-Jul-2018,6:06,5,298987,4273063,0.39,50,,
2.68,6,7/13/18,western_gb,desert,13-Jul-2018,6:23,6,299035,4273060,0.47,55,,
4.8,7,7/13/18,western_gb,risue,13-Jul-2018,8:57,7,300048,4272263,0.54,60,,
0.35,8,7/13/18,western_gb,risue,13-Jul-2018,8:52,8,300037,4272271,0.29,3,,
6.83,9,6/25/18,western_gb,,25-Jun-2018,11:00,9,355821,4244084,0.55,40,,
0.64,10,6/25/18,western_gb,,25-Jun-2018,11:30,10,340788,4276276,0.29,25,,
4.37,13,6/25/18,western_gb,,25-Jun-2018,10:24,13,341360,4268328,0.34,40,,
5.3,14,6/25/18,western_gb,,25-Jun-2018,10:40,14,340937,4270840,0.61,70,,
3.79,15,6/13/18,western_gb,,13-Jun-2018,12:40,15,299961,4226211,0.45,55,,
26.81,16,6/13/18,western_gb,,13-Jun-2018,12:50,16,298865,4226085,0.4,80,,
1.3,17,6/29/18,western_gb,ca,28-Jun-2018,14:08,17,277952,4267490,0.38,50,,
1.01,20,7/13/18,western_gb,risue,13-Jul-2018,9:30,20,300754,4271262,0.28,25,,
2.21,21,7/13/18,western_gb,risue,13-Jul-2018,9:26,21,300746,4271281,0.39,45,,
3.79,22,7/13/18,western_gb,risue,13-Jul-2018,9:12,22,300328,4272057,0.49,55,,
0.23,23,7/13/18,western_gb,risue,13-Jul-2018,9:18,23,300314,4272036,0.21,3,,
3.28,24,7/13/18,western_gb,risue,13-Jul-2018,8:46,24,299981,4272365,0.51,60,,
0.3,25,7/13/18,western_gb,risue,13-Jul-2018,8:42,25,300007,4272382,0.35,6,,
0.31,26,7/13/18,western_gb,risue,13-Jul-2018,9:50,26,303493,4269515,0.37,8,,
16.96,27,6/13/18,western_gb,,13-Jun-2018,12:25,29,300597,4225499,0.52,60,,
3.67,30,6/13/18,western_gb,,13-Jun-2018,12:33,30,300588,4225523,0.42,13,,
0.48,31,6/13/18,western_gb,,13-Jun-2018,13:15,31,298476,4226003,0.35,11,,
1.92,32,6/28/18,western_gb,ca,28-Jun-2018,15:13,32,277758,4267129,0.48,10,,
7.16,33,6/28/18,western_gb,ca,28-Jun-2018,14:28,33,278018,4267618,0.47,65,,
8.29,34,6/28/18,western_gb,ca,28-Jun-2018,14:45,34,278012,4267668,0.5,65,,
3.73,N01,6/25/18,western_gb,,25-Jun-2018,11:08,N01,340736,4273644,0.45,65,,
2.54,N02,6/25/18,western_gb,,25-Jun-2018,11:13,N02,340732,4273661,0.48,60,,
0.33,N03,,western_gb,,25-Jun-2018,11:37,N03,340789,4276272,0.47,10,,
1.06,N04,6/25/18,western_gb,,25-Jun-2018,11:42,N04,340792,4276288,0.36,23,,
7.46,N05,6/28/18,western_gb,ca,28-Jun-2018,14:16,N05,277934,4267511,0.44,60,,
1.61,N06,6/28/18,western_gb,ca,28-Jun-2018,14:35,N06,278028,4267607,0.3,15,,
7.77,N07,6/28/18,western_gb,ca,28-Jun-2018,14:51,N07,278010,4267720,0.58,50,,
2,N08,6/28/18,western_gb,ca,28-Jun-2018,15:22,N08,277775,4267140,0.44,55,,
1.96,N13,7/13/18,western_gb,desert,13-Jul-2018,6:14,N13,299005,4273075,0.51,55,,
12.97,N14,7/13/18,western_gb,desert,13-Jul-2018,6:31,N14,299072,4273003,0.39,95,,
1.58,N15,7/13/18,western_gb,risue,13-Jul-2018,8:32,N15,300033,4272332,0.27,10,,
0.57,N16,7/13/18,western_gb,risue,13-Jul-2018,8:38,N16,300024,4272350,0.26,7,,
0.04,N17,7/13/18,western_gb,risue,13-Jul-2018,9:54,N17,303519,4269527,0.39,3,,
0.93,N18,7/13/18,western_gb,risue,13-Jul-2018,9:57,N18,303530,4269511,0.42,10,,
1.06,N19,7/13/18,western_gb,risue,13-Jul-2018,10:03,N19,303456,4269515,0.4,40,,
