mass_g,plot,region,position,date,max_ht_cm,cover_pct,"UTMx (NAD11 ID and west, NAD12 UT)","UTMx (NAD11 ID and west, NAD12 UT)"
6.48,47,utah,upper right,06-20-2017,30,95,391100,4435043
1.8,49,utah,upper right,06-20-2017,33,30,391077,4434704
0.89,56,utah,upper right,06-20-2017,31,45,389406,4434428
18.58,57,utah,lower left,06-20-2017,67,100,386973,4436121
4.9,57,utah,upper right,06-20-2017,41,60,386973,4436121
0.12,58,utah,lower left,06-20-2017,12,5,384393,4436972
10.38,59,utah,lower left,06-20-2017,55,45,378696,4430343
44.69,61,utah,upper right,06-20-2017,71,50,371997,4429680
11.05,62,utah,upper right,06-20-2017,65,60,372146,4429773
43.68,62,utah,lower left,06-20-2017,70,100,372146,4429773
7.28,64,utah,upper right,06-20-2017,37,40,372858,4429732
1.08,66,utah,upper right,06-27-2017,55,35,398791,4432132
4.92,66,utah,lower left,06-27-2017,40,30,398791,4432132
2.11,67,utah,upper right,06-27-2017,60,45,399064,4432400
1.13,71,utah,upper right,06-27-2017,23,50,398443,4431796
1.58,73,utah,upper right,06-27-2017,23,45,398503,4431593
2.4,4,western_gb,upper left,06-08-2017,37,70,340717,4273663
7.27,5,western_gb,lower right,06-18-2017,36,80,298989,4273059
1.18,5,western_gb,upper left,06-18-2017,39,15,298981,4273068
4.36,6,western_gb,lower right,06-18-2017,44,60,299038,4273054
1.99,6,western_gb,upper left,06-18-2017,41,55,299028,4273068
0.37,7,western_gb,lower right,06-18-2017,13,25,300050,4272260
1.22,7,western_gb,upper left,06-18-2017,23,5,300041,4272268
0.11,8,western_gb,lower right,06-18-2017,14,1,300041,4272268
0.3,8,western_gb,upper left,06-18-2017,12,1,300029,4272279
1.11,10,western_gb,lower right,06-08-2017,10,25,340794,4276269
0.21,10,western_gb,upper left,06-08-2017,17,5,340783,4276279
0.64,13,western_gb,lower right,06-08-2017,20,30,341364,4268321
1.85,13,western_gb,upper left,06-08-2017,30,70,341355,4268332
0.63,14,western_gb,upper left,06-08-2017,12,35,340931,4270893
3.19,15,western_gb,lower right,06-17-2017,62,75,299963,4226203
9.33,15,western_gb,upper left,06-17-2017,53,25,299960,4226219
4.85,16,western_gb,lower right,06-17-2017,21,80,298870,4226083
3.75,20,western_gb,lower right,06-18-2017,33,20,300756,4271260
1.44,20,western_gb,upper left,06-18-2017,51,5,300749,4271265
13.58,21,western_gb,lower right,06-18-2017,47,70,300751,4271277
8.29,21,western_gb,upper left,06-18-2017,32,45,300745,4271288
3.84,22,western_gb,lower right,06-18-2017,23,40,300333,4272054
0.04,22,western_gb,upper left,06-18-2017,20,4,300332,4272062
2.24,23,western_gb,upper left,06-18-2017,24,10,300308,4272045
2.24,24,western_gb,lower right,06-18-2017,16,5,299986,4272360
1.24,24,western_gb,upper left,06-18-2017,20,10,299975,4272371
3.01,25,western_gb,lower right,06-18-2017,24,40,300009,4272378
2.55,25,western_gb,upper left,06-18-2017,24,30,300001,4272385
0.33,26,western_gb,lower right,06-18-2017,27,1,303497,4269508
6.1,26,western_gb,upper left,06-18-2017,34,10,303490,4269616
15.01,29,western_gb,upper left,06-17-2017,21,85,300595,4225507
5.29,30,western_gb,upper left,06-17-2017,36,22,300585,4225530
2.91,31,western_gb,lower right,06-17-2017,19,90,298479,4226000
0.32,31,western_gb,upper left,06-17-2017,20,5,298472,4226009
