Plot,BRTE_mass,BRTE_cover
F00_0_XX8,63.33,13.2222
F00_1_004,151,42.4444
F00_3_019,12.91,4.11111
F01_0_037,25.53,11.3333
F01_1_XX9,90.33,38.3333
F01_2_X10,84.09,19
F02_0_097,0.01,0.33333
F02_1_XX6,107.81,41.8889
F02_2_XX7,115.35,21.7778
F02_3_XX5,84.78,49.8889
F03_0_116,4.48,2.94444
F03_3_111,254.21,57.2222
F04_0_139,17.94,12.2222
F04_1_120,46.15,35.3333
F04_2_125,29.24,15.9444
F04_3_134,64.56,30.6667
F05_1_X11,104.56,16.1111
F05_1_ZZ1,61.44,19.6667
F05_2_149,74.57,24
F05_3_154,122.12,35.7778
F06_0_XX1,11.83,6.16667
F06_1_160,52.78,18.5556
F06_2_165,40.11,18.5556
F06_3_173,12.14,5.77778
F10_0_XX4,26.22,9.66667
F10_1_XX3,109.16,26.3333
F10_2_XX2,93.68,37.2222
F10_3_051,38.01,11.8889
