"","study","Calcic Solonetz","Haplic Calcisols","Haplic Cambisols","Haplic Kastanozems","Haplic Luvisols","Haplic Solonetz"
"1","bm",1,1,20,7,10,1
"2","cg",0,0,7,25,8,0
"3","ff",1,0,10,4,10,3
"4","js",0,1,9,5,5,0
